HSN Code,Description of Goods,Old GST Rate (%),New GST Rate (%)
"01012100, 010129",Live horses,12,5
401,Ultra-High Temperature (UHT) milk,5,Nil
"0402 91 10, 0402 99 20",Condensed milk,12,5
405,"Butter and other fats (i.e. ghee, butter oil, etc.) and oils derived from milk; dairy spreads",12,5
406,Cheese,12,5
801,"Brazil nuts, dried, whether or not Shelled or Peeled",12,5
802,"Other nuts, dried, whether or not shelled or peeled, such as Almonds, Hazelnuts or filberts (Corylus spp.), Chestnuts (Castanea spp.), Pistachios, Macadamia nuts, Kola nuts (Cola spp.), Pine nuts",12,5
804,"Dates (soft or hard), figs, pineapples, avocados, guavas, mangoes (other than mangoes sliced, dried) and mangosteens, dried",12,5
805,"Citrus fruit, such as Oranges, Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids, Grapefruit, including pomelos, Lemons (Citrus limon, Citrus limonum) and limes (Citrus aurantifolia, Citrus latifolia), dried",12,5
813,"Fruit, dried, other than that of headings 0801 to 0806; mixtures of nuts or dried fruits of Chapter 8 (other than dried tamarind)",12,5
1107,"Malt, whether or not roasted",18,5
1108,Starches; inulin,12,5
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products",18,5
1404 90 10,Bidi wrapper leaves (tendu),18,5
1404 90 50,Indian katha,18,5
1501,"Pig fats (including lard) and poultry fat, other than that of heading 0209 or 1503",12,5
1502,"Fats of bovine animals, sheep or goats, other than those of heading 1503",12,5
1503,"Lard stearin, lard oil, oleo stearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared",12,5
1504,"Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified",12,5
1505,Wool grease and fatty substances derived therefrom (including lanolin),12,5
1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified",12,5
1516,"Animal or microbial fats and animal or microbial oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",12,5
1517,"Edible mixtures or preparations of animal fats or microbial fats or animal oils or microbial oils or of fractions of different animal fats or microbial fats or animal oils or microbial oils of this Chapter, other than edible fats or oils or their fractions of heading 1516",12,5
1517 10,"All goods i.e. Margarine, Linoxyn",18,5
1518,"Animal or microbial fats and animal or microbial oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, excluding those of heading 1516; inedible mixtures or preparations of animal, vegetable or microbial fats or oils or of fractions of different fats or oils of this chapter, not elsewhere specified of included",12,5
1520 00 00,"Glycerol, crude; glycerol waters and glycerol lyes",18,5
1521,"Vegetable waxes (other than triglycerides), Beeswax, other insect waxes and spermaceti, whether or not refined or coloured",18,5
1522,"Degras, residues resulting from the treatment of fatty substances or animal or vegetable waxes",18,5
1601,"Sausages and similar products, of meat, meat offal, blood or insects; food preparations based on these products",12,5
1602,"Other prepared or preserved meat, meat offal, blood or insects",12,5
1603,"Extracts and juices of meat, fish or crustaceans, molluscs or other aquatic invertebrates",12,5
1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs,12,5
1605,"Crustaceans, molluscs and other aquatic invertebrates prepared or preserved",12,5
"1701 91, 1701 99","All goods, including refined sugar containing added flavouring or colouring matter, sugar cubes",12,5
1702,"Other sugars, including chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel",18,5
1704,Sugar boiled confectionery,12,5
1704,Sugar confectionery,18,5
1804,"Cocoa butter, fat and oil",18,5
1805,"Cocoa powder, not containing added sugar or sweetening matter",18,5
1806,Chocolates and other food preparations containing cocoa,18,5
1901 [other than 1901 20 00],"Malt extract, food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of heading 0401 to 0404, not containing cocoa or containing less than 5% by weight of cocoa calculated on a totally defatted basis not elsewhere specified or included",18,5
1902,"Pasta, whether or not cooked or stuffed (with meat or other substances) or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared",12,5
1904 [other than 1904 10 20],"All goods i.e. Corn flakes, bulgar wheat, prepared foods obtained from cereal flakes, Fortified Rice Kernel (FRK)",18,5
1905,"Pastry, cakes, biscuits and other bakers’ wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products (other than bread, pizza bread, khakhra, chapathi, roti)",18,5
1905 90 30,"Extruded or expanded products, savoury or salted",12,5
1905,Pizza bread,5,Nil
1905 or 2106,"Khakhra, chapathi or roti",5,Nil
2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid",12,5
2002,Tomatoes prepared or preserved otherwise than by vinegar or acetic acid,12,5
2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid",12,5
2004,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen, other than products of heading 2006",12,5
2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading 2006",12,5
2006,"Vegetables, fruit, nuts, fruit-peel and other parts of plants, preserved by sugar (drained, glacé or crystallised)",12,5
2007,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter",12,5
2008,"Fruit, nuts and other edible parts of plants, otherwise prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit, not elsewhere specified or included; such as Ground-nuts, Cashew nut, roasted, salted or roasted and salted, Other roasted nuts and seeds, squash of Mango, Lemon, Orange, Pineapple or other fruits",12,5
2009,"Fruit or nut juices (including grape must) and vegetable juices, unfermented and not containing added spirit, whether or not containing added sugar or other sweetening matter",12,5
2009 89 90,"Tender coconut water, pre-packaged and labelled",12,5
"2101 11, 2101 12 00","Extracts, essences and concentrates of coffee, and preparations with a basis of these extracts, essences or concentrates or with a basis of coffee",18,5
2101 20,"All goods i.e Extracts, essences and concentrates of tea or mate, and preparations with a basis of these extracts, essences or concentrates or with a basis of tea or mate",18,5
2101 30,"Roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",12,5
2102,"Yeasts (active and inactive); other single cell micro- organisms, dead (but not including vaccines of heading 3002); prepared baking powders",12,5
2103,"All goods, including Sauces and preparations therefor, mixed condiments and mixed seasonings; mustard flour and meal and prepared mustard, Curry paste, mayonnaise and salad dressings",12,5
2104,Soups and broths and preparations therefor; homogenised composite food preparations,18,5
